key,en,hi
"truckerTripDetailActionSubmitFailureMessage","We could not complete that trip action right now. Retry shortly after checking the latest trip status.","अभी वह trip action पूरी नहीं हो सकी। Latest trip status जांचकर थोड़ी देर बाद फिर कोशिश करें।"
"truckerTripDetailActionUnavailableTitle","Trip action unavailable","ट्रिप कार्रवाई उपलब्ध नहीं है"
"truckerTripDetailActionsTitle","Actions","कार्रवाइयाँ"
"truckerTripDetailAssignedLabel","Assigned: {dateTime}","असाइन किया गया: {dateTime}"
"truckerTripDetailAutoCompleteDueNow","Auto-complete is due now.","ऑटो-कम्प्लीट का समय अभी हो गया है।"
"truckerTripDetailAutoCompleteIn","Auto-complete in: {duration}","ऑटो-कम्प्लीट में: {duration}"
"truckerTripDetailBackToTripsAction","Back to my trips","मेरी ट्रिप्स पर वापस जाएं"
"truckerTripDetailBodyTypeLabel","Body type: {bodyType}","बॉडी प्रकार: {bodyType}"
"truckerTripDetailCallSupplierAction","Call Supplier","सप्लायर को कॉल करें"
"truckerTripDetailCancellationCurrentState","Current state: cancelled","वर्तमान स्थिति: रद्द"
"truckerTripDetailCancellationFollowupMessage","If support or operations share follow-up instructions, use this trip reference and the existing trip timeline for context.","अगर support या operations follow-up instructions साझा करें, तो context के लिए इस trip reference और existing trip timeline का इस्तेमाल करें।"
"truckerTripDetailCancellationSummaryTitle","Cancellation summary","रद्दीकरण सारांश"
"truckerTripDetailCancelledMessage","This trip was cancelled before completion. No further execution actions are available, and this detail now serves as a record of the cancelled movement.","यह trip completion से पहले cancel हो गई थी। कोई further execution action उपलब्ध नहीं है, और यह detail अब cancelled movement का record है।"
"truckerTripDetailCancelledTitle","Trip cancelled","ट्रिप रद्द हो गई"
"truckerTripDetailCargoLoadedAction","Cargo Loaded","कार्गो लोड हो गया"
"truckerTripDetailCargoLoadedSuccess","Cargo loading has been confirmed for this trip.","इस trip के लिए cargo loading confirm हो गई है।"
"truckerTripDetailCommentHint","Share anything useful about the trip outcome","Trip outcome के बारे में useful feedback साझा करें"
"truckerTripDetailCommentLabel","Comment (optional)","टिप्पणी (वैकल्पिक)"
"truckerTripDetailCompanyLabel","Company: {companyName}","कंपनी: {companyName}"
"truckerTripDetailCompletedLabel","Completed: {dateTime}","पूर्ण हुआ: {dateTime}"
"truckerTripDetailDeliveredLabel","Delivered: {dateTime}","डिलीवर किया गया: {dateTime}"
"truckerTripDetailDestinationLabel","Destination: {destination}","गंतव्य: {destination}"
"truckerTripDetailDisputeActionGuidanceClosed","This dispute has reached a final review state. Keep this trip detail for the recorded outcome and start a fresh follow-up only if a genuinely new issue appears.","यह dispute final review state तक पहुंच चुकी है। Recorded outcome के लिए इस trip detail को रखें और genuinely नई issue दिखे तभी fresh follow-up शुरू करें।"
"truckerTripDetailDisputeActionGuidanceInProgress","No further trip-stage action is available until the dispute is resolved. Keep this trip detail for status updates and follow any support instructions if requested.","जब तक dispute resolve नहीं होती, तब तक कोई further trip-stage action उपलब्ध नहीं है। Status updates के लिए इस trip detail को रखें और support निर्देश दे तो उन्हें follow करें।"
"truckerTripDetailDisputeBannerClosedMessage","A dispute raised on this trip under {category} has reached a final review outcome. Recorded status updates remain visible, while sensitive evidence may remain restricted.","इस trip पर {category} के तहत raise की गई dispute final review outcome तक पहुंच चुकी है। Recorded status updates visible रहती हैं, जबकि sensitive evidence restricted रह सकती है।"
"truckerTripDetailDisputeBannerClosedTitle","Dispute review closed","विवाद समीक्षा बंद हो गई है"
"truckerTripDetailDisputeBannerInProgressMessage","A dispute has been raised on this trip under {category}. The trip stays open while support or operations review the delivery context, and sensitive evidence may remain restricted during review.","इस trip पर {category} के तहत dispute raise की गई है। Delivery context को support या operations review कर रहे हैं, और sensitive evidence review के दौरान restricted रह सकती है।"
"truckerTripDetailDisputeBannerNoSummaryMessage","A dispute has been raised on this trip. The trip stays open while support or operations review the submitted proof and delivery context. Both sides can see dispute status, but sensitive evidence may remain restricted during review.","इस trip पर dispute raise की गई है। Submitted proof और delivery context को support या operations review कर रहे हैं। दोनों sides dispute status देख सकती हैं, लेकिन sensitive evidence review के दौरान restricted रह सकती है।"
"truckerTripDetailDisputeBannerWaitingMessage","A dispute has been raised on this trip under {category} and is waiting on your clarification or proof. Sensitive evidence may remain restricted during review.","इस trip पर {category} के तहत dispute raise की गई है और यह आपके clarification या proof का इंतजार कर रही है। Sensitive evidence review के दौरान restricted रह सकती है।"
"truckerTripDetailDisputeBannerWaitingTitle","Dispute waiting for your reply","विवाद आपके उत्तर की प्रतीक्षा कर रहा है"
"truckerTripDetailDisputeCurrentStateLabel","Current state: {status}","वर्तमान स्थिति: {status}"
"truckerTripDetailDisputeLastUpdatedLabel","Last updated: {date}","अंतिम अपडेट: {date}"
"truckerTripDetailDisputeStateRaised","Current state: Dispute raised","वर्तमान स्थिति: विवाद दर्ज किया गया"
"truckerTripDetailDisputeStatusGuidanceDefault","Keep following the related support ticket for the latest visible review updates.","Latest visible review updates के लिए related support ticket को follow करते रहें।"
"truckerTripDetailDisputeStatusGuidanceInProgress","Support or operations are actively reviewing the dispute. Watch the related support ticket for visible updates or clarification requests.","Support या operations इस dispute को actively review कर रहे हैं। Visible updates या clarification requests के लिए related support ticket देखें।"
"truckerTripDetailDisputeStatusGuidanceOpen","Support has received this dispute and review should begin shortly. Keep the related support replies clear if more proof context is needed.","Support को यह dispute मिल चुकी है और review जल्द शुरू होनी चाहिए। अगर और proof context चाहिए हो तो related support replies साफ रखें।"
"truckerTripDetailDisputeStatusGuidanceResolved","This dispute has reached a final review state. Check the linked support ticket outcome before raising any fresh follow-up issue.","यह dispute final review state तक पहुंच चुकी है। कोई नया follow-up issue उठाने से पहले linked support ticket outcome देखें।"
"truckerTripDetailDisputeStatusGuidanceWaitingForUser","Support is waiting for your clarification or additional context. Reply on the related support ticket so the review can continue.","Support आपके clarification या additional context का इंतजार कर रही है। Review जारी रखने के लिए related support ticket पर reply करें।"
"truckerTripDetailDisputeStatusTitle","Dispute status","विवाद स्थिति"
"truckerTripDetailDistanceLabel","Distance: {distance} km","दूरी: {distance} किमी"
"truckerTripDetailDriveTimeLabel","Drive time: {minutes} min","ड्राइव समय: {minutes} मिनट"
"truckerTripDetailHeadToPickupAction","Head to pickup","पिकअप के लिए निकलें"
"truckerTripDetailHeadToPickupSuccess","Pickup movement started. The supplier can now see that you are heading to pickup.","Pickup movement शुरू हो गई है। Supplier अब देख सकती है कि आप pickup की ओर जा रहे हैं।"
"truckerTripDetailHeroSubtitle","Truck {truckNumber}","ट्रक {truckNumber}"
"truckerTripDetailLoadFailureMessage","We could not load this trip detail right now. Retry shortly to refresh the latest trip status and actions.","अभी यह trip detail load नहीं हो सकी। Latest trip status और actions refresh करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"truckerTripDetailLoadFailureTitle","Unable to load trip detail","ट्रिप विवरण लोड नहीं हो सका"
"truckerTripDetailLrUploadFailureMessage","We could not upload the LR proof right now. Try another image or retry shortly.","अभी LR proof upload नहीं हो सकी। कोई दूसरी image आज़माएँ या थोड़ी देर बाद फिर कोशिश करें।"
"truckerTripDetailLrUploadedSuccess","LR uploaded successfully.","LR सफलतापूर्वक अपलोड हो गया।"
"truckerTripDetailMarkDeliveredAction","Mark Delivered","डिलीवर के रूप में चिन्हित करें"
"truckerTripDetailMarkDeliveredSuccess","Delivery recorded. Upload POD in the next step to complete the proof flow.","Delivery record हो गई है। Proof flow complete करने के लिए अगले step में POD upload करें।"
"truckerTripDetailMaterialLabel","Material: {material}","सामग्री: {material}"
"truckerTripDetailMobileLabel","Mobile: {mobile}","मोबाइल: {mobile}"
"truckerTripDetailNextStepAssignedMessage","This trip is assigned and waiting for the pickup movement to begin.","यह trip assigned है और pickup movement शुरू होने का इंतजार कर रही है।"
"truckerTripDetailNextStepAssignedTitle","Head to pickup","पिकअप के लिए निकलें"
"truckerTripDetailNextStepCancelledMessage","This trip was cancelled before normal completion and no further execution steps remain.","यह trip normal completion से पहले cancel हो गई थी और अब कोई further execution steps नहीं बचीं।"
"truckerTripDetailNextStepCancelledTitle","Trip cancelled","ट्रिप रद्द हुई"
"truckerTripDetailNextStepCompletedMessage","Execution is closed and this trip now serves as a historical record.","Execution close हो चुकी है और यह trip अब historical record है।"
"truckerTripDetailNextStepCompletedTitle","Trip completed","ट्रिप पूर्ण हुई"
"truckerTripDetailNextStepDefaultMessage","Review the current trip state and recent timestamps to understand the latest movement.","Latest movement समझने के लिए current trip state और recent timestamps review करें।"
"truckerTripDetailNextStepDefaultTitle","Check execution status","कार्यान्वयन स्थिति जांचें"
"truckerTripDetailNextStepDeliveredMessage","Delivery is recorded and proof of delivery is the next required step.","Delivery record हो चुकी है और proof of delivery अगला required step है।"
"truckerTripDetailNextStepDeliveredTitle","Upload POD","POD अपलोड करें"
"truckerTripDetailNextStepDisputedMessage","A dispute is active on this trip and operational review is required before closure.","इस trip पर dispute active है और closure से पहले operational review जरूरी है।"
"truckerTripDetailNextStepInTransitMessage","The trip is in transit and the next milestone is delivery confirmation.","Trip in transit है और अगला milestone delivery confirmation है।"
"truckerTripDetailNextStepInTransitTitle","Reach destination","गंतव्य तक पहुँचें"
"truckerTripDetailNextStepPickedUpMessage","Cargo is loaded and the next operational milestone is moving into transit.","Cargo load हो चुकी है और अगला operational milestone transit में जाना है।"
"truckerTripDetailNextStepPickedUpTitle","Start the trip","ट्रिप शुरू करें"
"truckerTripDetailNextStepPickupPendingMessage","The trip is at pickup and waiting for cargo loading confirmation.","Trip pickup पर है और cargo loading confirmation का इंतजार कर रही है।"
"truckerTripDetailNextStepPickupPendingTitle","Confirm loading","लोडिंग की पुष्टि करें"
"truckerTripDetailNextStepProofSubmittedMessage","Proof is submitted and the trip is waiting for supplier review or auto-completion.","Proof submit हो चुकी है और trip supplier review या auto-completion का इंतजार कर रही है।"
"truckerTripDetailNextStepProofSubmittedTitle","Await supplier confirmation","सप्लायर पुष्टि की प्रतीक्षा करें"
"truckerTripDetailNextStepTitle","Next step","अगला चरण"
"truckerTripDetailNotFoundSubtitle","This assigned trip is no longer available or you no longer have access to it.","यह assigned trip अब उपलब्ध नहीं है या अब आपके पास इसका access नहीं है।"
"truckerTripDetailNotFoundTitle","Trip not found","ट्रिप नहीं मिली"
"truckerTripDetailOriginLabel","Origin: {origin}","मूल: {origin}"
"truckerTripDetailPending","Pending","लंबित"
"truckerTripDetailPodUploadFailureMessage","We could not upload the POD proof right now. Try another image or retry shortly.","अभी POD proof upload नहीं हो सकी। कोई दूसरी image आज़माएँ या थोड़ी देर बाद फिर कोशिश करें।"
"truckerTripDetailPodUploadedLabel","POD uploaded: {dateTime}","POD अपलोड किया गया: {dateTime}"
"truckerTripDetailPodUploadedSuccess","POD uploaded successfully. Supplier confirmation is now pending.","POD सफलतापूर्वक अपलोड हो गया। अब सप्लायर की पुष्टि लंबित है।"
"truckerTripDetailProofGuidanceClosed","If you believe important proof was not considered before closure, start a fresh support follow-up only when you have genuinely new dispute context to raise.","अगर आपको लगता है कि closure से पहले important proof consider नहीं हुई, तो fresh support follow-up तभी शुरू करें जब आपके पास वास्तव में नई dispute context हो।"
"truckerTripDetailProofGuidanceInProgress","If additional supporting proofs are not attached in the current single-image flow, keep the related support replies clear so support and operations know what else to review.","अगर additional supporting proofs current single-image flow में attached नहीं हैं, तो related support replies साफ रखें ताकि support और operations समझ सकें कि और क्या review करना है।"
"truckerTripDetailRatingAlreadySubmitted","You already rated this trip.","आप इस ट्रिप को पहले ही रेट कर चुके हैं।"
"truckerTripDetailRatingFailureMessage","Your trip rating state is temporarily unavailable. Retry shortly before submitting a rating.","आपकी trip rating state अभी उपलब्ध नहीं है। Rating submit करने से पहले थोड़ी देर बाद फिर कोशिश करें।"
"truckerTripDetailRatingPrompt","Delivery is complete. Rate the supplier for this trip.","Delivery complete हो चुकी है। इस trip के लिए supplier को rate करें।"
"truckerTripDetailRatingSectionTitle","Rate this trip","इस ट्रिप को रेट करें"
"truckerTripDetailRatingSubmitFailureMessage","We could not submit your rating right now. Review the rating and retry shortly.","अभी आपकी rating submit नहीं हो सकी। Rating review करें और थोड़ी देर बाद फिर कोशिश करें।"
"truckerTripDetailRatingSubmittedOn","Submitted on {date}","जमा किया गया: {date}"
"truckerTripDetailRatingSubmittedSuccess","Rating submitted successfully.","रेटिंग सफलतापूर्वक जमा हो गई।"
"truckerTripDetailRatingUnavailableTitle","Rating unavailable","रेटिंग उपलब्ध नहीं है"
"truckerTripDetailReplaceLrUploadAction","Replace LR Upload","LR अपलोड बदलें"
"truckerTripDetailReviewCountdownMessage","Supplier confirmation is pending. This trip auto-completes 48 hours after POD upload if no action is taken.","Supplier confirmation pending है। अगर कोई action नहीं ली जाती, तो POD upload के 48 घंटे बाद यह trip auto-complete हो जाती है।"
"truckerTripDetailReviewCountdownTitle","Delivery review countdown","डिलीवरी समीक्षा काउंटडाउन"
"truckerTripDetailSharedVisibilityClosed","Both parties can still follow the recorded dispute category, final workflow state, and visible support replies kept on this trip dispute.","दोनों parties recorded dispute category, final workflow state और visible support replies को इस trip dispute पर अभी भी follow कर सकती हैं।"
"truckerTripDetailSharedVisibilityInProgress","Both parties can follow the dispute category, workflow status, and support replies that are intentionally visible during review.","दोनों parties dispute category, workflow status और support replies को follow कर सकती हैं जो review के दौरान intentionally visible रखी गई हैं।"
"truckerTripDetailStartTripAction","Start Trip","ट्रिप शुरू करें"
"truckerTripDetailStartTripSuccess","Trip started successfully. This load is now in transit.","Trip successfully शुरू हो गई है। यह load अब in transit है।"
"truckerTripDetailStartedLabel","Started: {dateTime}","शुरू हुआ: {dateTime}"
"truckerTripDetailSubmitRatingAction","Submit Rating","रेटिंग जमा करें"
"truckerTripDetailSupplierLabel","Supplier: {name}","सप्लायर: {name}"
"truckerTripDetailTitle","Trip Detail","ट्रिप विवरण"
"truckerTripDetailTripSummaryMessage","This trip is complete and closed out from the execution workflow.","यह trip complete हो चुकी है और execution workflow से close out हो गई है।"
"truckerTripDetailTripSummaryTitle","Trip summary","ट्रिप सारांश"
"truckerTripDetailTruckNumberLabel","Truck number: {truckNumber}","ट्रक नंबर: {truckNumber}"
"truckerTripDetailTruckSupplierTitle","Truck and supplier","ट्रक और सप्लायर"
"truckerTripDetailTyresLabel","Tyres: {tyres}","टायर: {tyres}"
"truckerTripDetailUploadLrImageTitle","Upload LR image","LR चित्र अपलोड करें"
"truckerTripDetailUploadLrOptionalAction","Upload LR (Optional)","LR अपलोड करें (वैकल्पिक)"
"truckerTripDetailUploadPodPhotoAction","Upload POD Photo","POD फ़ोटो अपलोड करें"
"truckerTripDetailUploadPodPhotoTitle","Upload POD photo","POD फ़ोटो अपलोड करें"
"truckerTripsEmptyActiveAction","Find loads","लोड्स ढूंढें"
"truckerTripsEmptyActiveSubtitle","Book a load and wait for supplier approval to start your first trip.","अपनी पहली trip शुरू करने के लिए load book करें और supplier approval का इंतज़ार करें।"
"truckerTripsEmptyActiveTitle","No trips yet","अभी कोई trip नहीं है"
"truckerTripsEmptyCompletedAction","View active trips","सक्रिय ट्रिप्स देखें"
"truckerTripsEmptyCompletedSubtitle","Completed and cancelled trips will appear here after execution closes.","Execution close होने के बाद completed और cancelled trips यहाँ दिखेंगी।"
"truckerTripsEmptyCompletedTitle","No completed trips yet","अभी कोई completed trip नहीं है"
"truckerTripsLoadFailureMessage","We could not load your trips right now. Retry shortly to refresh the latest execution timeline.","अभी आपकी trips लोड नहीं हो सकीं। Latest execution timeline refresh करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"truckerTripsLoadFailureTitle","Unable to load trips","Trips लोड नहीं हो सकीं"
"truckerTripsSubtitle","Track assigned trips, monitor proof deadlines, and hand off the right action at the right trip stage.","Assigned trips track करें, proof deadlines monitor करें, और सही trip stage पर सही action लें।"
"truckerTripsTimeContextAssigned","Assigned {date}","असाइन किया गया {date}"
"truckerTripsTimeContextCompleted","Completed {date}","पूर्ण हुआ {date}"
"truckerTripsTimeContextDelivered","Delivered {date}","डिलीवर किया गया {date}"
"truckerTripsTimeContextPodUploaded","POD uploaded {date}","POD अपलोड किया गया {date}"
"truckerTripsTitle","My trips","मेरी ट्रिप्स"
"trustSafetyBanFallback","This account is blocked from normal platform use. Use support only for policy-allowed clarification or final review outcome questions.","यह account सामान्य platform use के लिए blocked है। केवल policy-allowed clarification या final review outcome questions के लिए support का उपयोग करें।"
"trustSafetyBanTitle","Trust & safety ban active","विश्वास और सुरक्षा प्रतिबंध सक्रिय है"
"trustSafetyCurrentStatus","Current status: {displayLabel}. {fallback}","वर्तमान स्थिति: {displayLabel}. {fallback}"
"trustSafetyCurrentStatusWithReason","Current status: {displayLabel}. Reason summary: {reasonSummary}. {fallback}","वर्तमान स्थिति: {displayLabel}. कारण सारांश: {reasonSummary}. {fallback}"
"trustSafetyHealthyMessageLine1","Your account currently has no active trust or safety enforcement. Keep delivery proofs, payout confirmations, and marketplace communication accurate so this status remains normal.","आपके account पर अभी कोई active trust या safety enforcement नहीं है। यह status normal बना रहे, इसके लिए delivery proofs, payout confirmations और marketplace communication सही रखें।"
"trustSafetyHealthyMessageLine2","If policy or moderation questions ever appear on this account, open support for clarification before retrying blocked actions.","अगर इस account पर कभी policy या moderation questions आएँ, तो blocked actions दोबारा try करने से पहले clarification के लिए support खोलें।"
"trustSafetyLabel","Trust & safety","विश्वास और सुरक्षा"
"trustSafetyOpenSupport","Open support","सपोर्ट खोलें"
"trustSafetyRestrictionFallback","Some platform actions may be limited while this restriction remains active. Use support to confirm which actions are limited and what changes may be required before the restriction can be reviewed.","यह restriction active रहने तक कुछ platform actions limited हो सकती हैं। कौन-सी actions limited हैं और review से पहले क्या changes ज़रूरी हैं, यह confirm करने के लिए support का उपयोग करें।"
"trustSafetyRestrictionTitle","Trust & safety restriction active","विश्वास और सुरक्षा प्रतिबंध सक्रिय है"
"trustSafetySuspensionFallback","Access to key platform actions may be paused while this suspension remains active. Use support for policy-allowed review updates or reinstatement guidance once the required next steps are complete.","यह suspension active रहने तक key platform actions paused हो सकती हैं। Required next steps पूरी होने के बाद policy-allowed review updates या reinstatement guidance के लिए support का उपयोग करें।"
"trustSafetySuspensionTitle","Trust & safety suspension active","विश्वास और सुरक्षा निलंबन सक्रिय है"
"trustSafetyWarningMessage","Your account has a warning on record. Marketplace and support surfaces remain available, but you should avoid further violations and use support if you need clarification on the warning or next-step expectations.","आपके account पर warning दर्ज है। Marketplace और support surfaces उपलब्ध हैं, लेकिन आगे violations से बचें और warning या next-step expectations की clarity के लिए support का उपयोग करें।"
"trustSafetyWarningTitle","Trust & safety warning active","विश्वास और सुरक्षा चेतावनी सक्रिय है"
"trustScoreLoadsPosted","Loads posted","पोस्ट किए गए लोड"
"trustScoreNoRatingYet","No rating yet","अभी तक कोई रेटिंग नहीं"
"trustScoreOutOfFive","out of 5","5 में से"
"trustScoreReviews","reviews","समीक्षाएं"
"trustScoreReviewsReceived","Reviews received","प्राप्त समीक्षाएं"
"trustScoreSuperLoadEligible","Super Load eligible","सुपर लोड पात्र"
"trustScoreTitle","Trust & Reviews","विश्वास और समीक्षाएं"
"trustScoreTripsCompleted","Trips completed","पूर्ण की गई यात्राएं"
"trustScoreTrucksInFleet","Trucks in fleet","बेड़े में ट्रक"
"verificationActionFailureMessage","The latest verification action could not be completed right now. Review the current checklist and retry shortly.","Latest verification action अभी पूरी नहीं हो सकी। Current checklist review करें और थोड़ी देर बाद फिर कोशिश करें।"
"verificationActionNeedsAttentionTitle","Verification action needs attention","वेरिफिकेशन कार्रवाई पर ध्यान देने की आवश्यकता है"
"verificationBlockedAlreadyComplete","Verification is already complete.","वेरिफिकेशन पहले से पूरा है।"
"verificationBlockedMissingBusinessNumbers","Enter your business licence details first.","पहले बिजनेस लाइसेंस विवरण भरें।"
"verificationBlockedMissingCompanyName","Enter your company name first.","पहले अपनी कंपनी का नाम भरें।"
"verificationBlockedMissingDocument","Upload {documentType} to continue.","जारी रखने के लिए {documentType} अपलोड करें।"
"verificationBlockedMissingIdentity","Add your Aadhaar and PAN numbers first.","पहले अपना आधार और पैन नंबर जोड़ें।"
"verificationBlockedMissingLocation","Add your verification location first.","पहले अपना वेरिफिकेशन स्थान जोड़ें।"
"verificationBlockedMissingTruck","Add at least one truck before submitting verification.","वेरिफिकेशन जमा करने से पहले कम से कम एक ट्रक जोड़ें।"
"verificationBlockedUnderReview","Your verification is already under review.","आपका वेरिफिकेशन पहले से समीक्षा में है।"
"verificationCaptureLocationAction","Capture location","Location capture करें"
"verificationChatAndCallGatingBadge","Chat and call gating","चैट और कॉल प्रतिबंध"
"verificationCompleteBannerDescription","Your account is already verified. You can still review the uploaded document checklist below.","आपका account पहले से verified है। आप नीचे uploaded document checklist फिर भी review कर सकते हैं।"
"verificationCompleteBannerTitle","Verification complete","वेरिफिकेशन पूर्ण है"
"verificationDetailsUnavailableSubtitle","We could not find the current verification record for this account. Please retry shortly.","हम इस account के लिए current verification record नहीं ढूंढ सके। कृपया थोड़ी देर बाद फिर कोशिश करें।"
"verificationDetailsUnavailableTitle","Verification details unavailable","वेरिफिकेशन विवरण उपलब्ध नहीं है"
"verificationDocTypeAadhaarBack","Aadhaar back","आधार पीछे"
"verificationDocTypeAadhaarFront","Aadhaar front","आधार सामने"
"verificationDocTypeBusinessLicence","Business licence","व्यवसाय लाइसेंस"
"verificationDocTypeGstCertificate","GST certificate","जीएसटी प्रमाणपत्र"
"verificationDocTypePan","PAN card","PAN कार्ड"
"verificationDocTypeProfilePhoto","Profile photo","प्रोफ़ाइल फोटो"
"verificationDocumentChecklistTitle","Document checklist","दस्तावेज़ चेकलिस्ट"
"verificationDocumentCorrectionFallback","This document needs correction before verification can be resubmitted.","Verification resubmit होने से पहले इस document में correction जरूरी है।"
"verificationDocumentMissingMessage","This document is still missing from the current packet.","यह document current packet में अभी भी missing है।"
"verificationDocumentOptionalSubtitle","Optional for the current verification packet.","Current verification packet के लिए optional है।"
"verificationDocumentRequiredSubtitle","Required before verification can be submitted.","Verification submit होने से पहले यह required है।"
"verificationDocumentUploadFailureMessage","We could not upload that verification document right now. Try another image or retry shortly.","अभी वह verification document upload नहीं हो सकी। कोई दूसरी image आज़माएँ या थोड़ी देर बाद फिर कोशिश करें।"
"verificationDocumentUploadedSubtitle","Document uploaded and linked to your verification record.","Document upload हो चुकी है और आपकी verification record से linked है।"
"verificationDocumentUploadedSuccess","{label} uploaded successfully","{label} सफलतापूर्वक अपलोड किया गया"
"verificationFieldBusinessLicenceNumber","Business licence number","बिजनेस लाइसेंस नंबर"
"verificationFieldCompanyName","Company name","कंपनी का नाम"
"verificationFieldGstOptional","Optional","वैकल्पिक"
"verificationGpsDisabledMessage","Location services are turned off. Please enable GPS in your device settings to capture your verification location.","लोकेशन सेवाएँ बंद हैं। अपना वेरिफिकेशन स्थान कैप्चर करने के लिए कृपया डिवाइस सेटिंग्स में GPS चालू करें।"
"verificationGpsDisabledTitle","GPS is disabled","GPS बंद है"
"verificationLatestRejectionReasonTitle","Latest rejection reason","नवीनतम अस्वीकृति कारण"
"verificationLoadFailureMessage","We could not load your verification status right now. Retry shortly to refresh the latest verification state.","अभी आपका verification status load नहीं हो सका। Latest verification state refresh करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"verificationLoadFailureTitle","Unable to load verification state","वेरिफिकेशन स्थिति लोड नहीं हो सकी"
"verificationLocationCaptureGuidanceFooter","We attempt GPS capture and resolve to the nearest city-level location when possible.","हम GPS capture की कोशिश करते हैं और संभव होने पर nearest city-level location resolve करते हैं।"
"verificationLocationCapturedFooter","Captured location remains attached to the supplier verification packet for review.","Captured location supplier verification packet के साथ review के लिए attached रहती है।"
"verificationLocationCapturedStatus","captured","कैप्चर किया गया"
"verificationLocationCapturedSuccess","Verification location captured","वेरिफिकेशन स्थान कैप्चर कर लिया गया"
"verificationLocationCapturedTitle","Location captured","स्थान कैप्चर किया गया"
"verificationLocationFailureMessage","We could not capture the verification location right now. Retry shortly from this verification screen.","अभी verification location capture नहीं हो सकी। इसी verification screen से थोड़ी देर बाद फिर कोशिश करें।"
"verificationLocationRequiredMessage","Supplier verification needs a city-level location capture before submission can proceed.","Supplier verification के लिए submission से पहले city-level location capture जरूरी है।"
"verificationLocationRequiredStatus","required","आवश्यक"
"verificationLocationRequiredTitle","Location still required","स्थान अभी भी आवश्यक है"
"verificationLocationTitle","Verification location","वेरिफिकेशन स्थान"
"verificationLockedPendingGuidance","Your verification is under review, so these fields are locked until a decision is made.","आपका वेरिफिकेशन समीक्षा में है, इसलिए निर्णय होने तक ये फ़ील्ड लॉक हैं।"
"verificationLockedStatusSectionTitle","Verification status","वेरिफिकेशन स्थिति"
"verificationLockedStatusValue","{status, select, verified_title {Verified} pending_title {Under review} verified_message {Your verification has been approved. No action is needed right now.} pending_message {Your documents are being reviewed. You will be notified once the review is complete.} other {Unknown}}","{status, select, verified_title {सत्यापित} pending_title {समीक्षा के अंतर्गत} verified_message {आपकी verification approve हो चुकी है। अभी किसी action की ज़रूरत नहीं है।} pending_message {आपके documents review में हैं। Review पूरी होने पर आपको notify किया जाएगा।} other {अज्ञात}}"
"verificationLockedVerifiedGuidance","Your verification is already approved, so these fields are locked.","आपका वेरिफिकेशन पहले से स्वीकृत है, इसलिए ये फ़ील्ड लॉक हैं।"
"verificationManualLocationAction","Enter location manually","Location manually जोड़ें"
"verificationNeedsAttentionBannerDescription","Review the rejection summary, replace any affected documents, and resubmit the packet when ready.","Rejection summary review करें, affected documents replace करें, और ready होने पर packet resubmit करें।"
"verificationNextStepTitle","Next step","अगला चरण"
"verificationNotSubmittedSupplierMessage","Upload Aadhaar, PAN, profile photo, and business licence before submitting supplier verification.","Supplier verification submit करने से पहले Aadhaar, PAN, profile photo और business licence upload करें।"
"verificationNotSubmittedTitle","Verification not submitted yet","वेरिफिकेशन अभी जमा नहीं किया गया है"
"verificationNotSubmittedTruckerMessage","Upload Aadhaar, PAN, profile photo, and ensure at least one approved truck exists before submitting trucker verification.","Trucker verification submit करने से पहले Aadhaar, PAN, profile photo upload करें और सुनिश्चित करें कि कम-से-कम एक approved truck मौजूद हो।"
"verificationOpenAppSettingsAction","Open App Settings","ऐप सेटिंग्स खोलें"
"verificationOpenFleetAction","Open fleet","फ़्लीट खोलें"
"verificationOpenFleetHint","Add or manage your truck with RC document from the fleet screen.","Fleet screen से RC document वाला truck जोड़ें या manage करें।"
"verificationOpenSettingsAction","Open Settings","सेटिंग्स खोलें"
"verificationPacketDetailsSectionTitle","Verification packet details","Verification packet विवरण"
"verificationPendingBannerDescription","Your verification packet is already under review. You can keep browsing while review is pending.","आपका verification packet पहले से review में है। Review pending रहने तक आप browsing जारी रख सकते हैं।"
"verificationPendingBannerTitle","Verification pending","वेरिफिकेशन लंबित है"
"verificationPermissionDeniedMessage","Location access is permanently denied. Please enable location permission in your app settings to continue.","लोकेशन एक्सेस स्थायी रूप से अस्वीकृत है। जारी रखने के लिए कृपया ऐप सेटिंग्स में लोकेशन अनुमति सक्षम करें।"
"verificationPermissionDeniedTitle","Location permission required","लोकेशन अनुमति आवश्यक है"
"verificationReadinessCheckAadhaarBackPhoto","Aadhaar back photo","आधार पीछे का फोटो"
"verificationReadinessCheckAadhaarFrontPhoto","Aadhaar front photo","आधार सामने का फोटो"
"verificationReadinessCheckBusinessLicenceDocument","Business licence document","व्यवसाय लाइसेंस दस्तावेज़"
"verificationReadinessCheckBusinessLicenceNumber","Business licence number","व्यवसाय लाइसेंस नंबर"
"verificationReadinessCheckCompanyName","Company name","कंपनी का नाम"
"verificationReadinessCheckLocation","Verification location","सत्यापन स्थान"
"verificationReadinessCheckPanPhoto","PAN photo","पैन फोटो"
"verificationReadinessCheckTruckWithRcDocument","Truck with RC document","RC document वाला truck"
